,datetime_beginning_utc,datetime_beginning_ept,fuel_type,mw,fuel_percentage_of_total,is_renewable,timedate,Hour,Day,Month,Year
194,1/1/2016 22:00,1/1/2016 17:00,Solar,0,0,TRUE,1/1/2016 17:00,17,1,1,2016
196,1/1/2016 22:00,1/1/2016 17:00,Wind,2909.6,0.03,TRUE,1/1/2016 17:00,17,1,1,2016
198,1/1/2016 23:00,1/1/2016 18:00,Hydro,1601.6,0.02,TRUE,1/1/2016 18:00,18,1,1,2016
203,1/1/2016 23:00,1/1/2016 18:00,Wind,2824.7,0.03,TRUE,1/1/2016 18:00,18,1,1,2016
205,1/1/2016 23:00,1/1/2016 18:00,Other Renewables,619.6,0,TRUE,1/1/2016 18:00,18,1,1,2016
206,1/1/2016 23:00,1/1/2016 18:00,Solar,0,0,TRUE,1/1/2016 18:00,18,1,1,2016
211,1/2/2016 0:00,1/1/2016 19:00,Hydro,1318.5,0.01,TRUE,1/1/2016 19:00,19,1,1,2016
215,1/2/2016 0:00,1/1/2016 19:00,Other Renewables,621.6,0,TRUE,1/1/2016 19:00,19,1,1,2016
216,1/2/2016 0:00,1/1/2016 19:00,Solar,0,0,TRUE,1/1/2016 19:00,19,1,1,2016
218,1/2/2016 0:00,1/1/2016 19:00,Wind,2818.4,0.03,TRUE,1/1/2016 19:00,19,1,1,2016
223,1/2/2016 1:00,1/1/2016 20:00,Hydro,1028,0.01,TRUE,1/1/2016 20:00,20,1,1,2016
225,1/2/2016 1:00,1/1/2016 20:00,Wind,3091.7,0.03,TRUE,1/1/2016 20:00,20,1,1,2016
227,1/2/2016 1:00,1/1/2016 20:00,Other Renewables,621.8,0,TRUE,1/1/2016 20:00,20,1,1,2016
228,1/2/2016 1:00,1/1/2016 20:00,Solar,0,0,TRUE,1/1/2016 20:00,20,1,1,2016
234,1/2/2016 2:00,1/1/2016 21:00,Hydro,835.8,0.01,TRUE,1/1/2016 21:00,21,1,1,2016
236,1/2/2016 2:00,1/1/2016 21:00,Wind,3202.7,0.04,TRUE,1/1/2016 21:00,21,1,1,2016
238,1/2/2016 2:00,1/1/2016 21:00,Other Renewables,602.2,0,TRUE,1/1/2016 21:00,21,1,1,2016
239,1/2/2016 2:00,1/1/2016 21:00,Solar,0,0,TRUE,1/1/2016 21:00,21,1,1,2016
244,1/2/2016 3:00,1/1/2016 22:00,Hydro,670,0.01,TRUE,1/1/2016 22:00,22,1,1,2016
248,1/2/2016 3:00,1/1/2016 22:00,Other Renewables,606.1,0,TRUE,1/1/2016 22:00,22,1,1,2016
249,1/2/2016 3:00,1/1/2016 22:00,Solar,0,0,TRUE,1/1/2016 22:00,22,1,1,2016
251,1/2/2016 3:00,1/1/2016 22:00,Wind,3321,0.04,TRUE,1/1/2016 22:00,22,1,1,2016
256,1/2/2016 4:00,1/1/2016 23:00,Hydro,662.1,0.01,TRUE,1/1/2016 23:00,23,1,1,2016
258,1/2/2016 4:00,1/1/2016 23:00,Wind,3317.4,0.04,TRUE,1/1/2016 23:00,23,1,1,2016
262,1/2/2016 4:00,1/1/2016 23:00,Other Renewables,622.7,0,TRUE,1/1/2016 23:00,23,1,1,2016
263,1/2/2016 4:00,1/1/2016 23:00,Solar,0,0,TRUE,1/1/2016 23:00,23,1,1,2016
