State,Facility Name,Facility ID (ORISPL),County,FIPS Code,Source Category,Max Hourly HI Rate (MMBtu/hr),SO2 (tons),NOx (tons),CO2 (tons),Gross Load (MW-h),Plant state abbreviation,Plant name,DOE/EIA ORIS plant or facility code,Balancing Authority Code,Plant primary fuel,Plant primary coal/oil/gas/ other fossil fuel category,Plant capacity factor,Plant nameplate capacity (MW),Heat rate (MMBtu/MWh),SO2 emissions rate (tons/MWh),NOx emissions rate (tons/MWh),CO2 emissions rate (tons/MWh),Average NOx emissions rate by fuel,Average SO2 emissions rate by fuel,Average CO2 emissions rate by fuel
DE,Garrison Energy Center,57349,Kent County,1.0,Electric Utility,2272.0,3.3360000000000003,40.232,592848.854782035,1599120.82,DE,Garrison Energy Center,57349,PJM,NG,GAS,0.49492,361,6.293628808864266,2.086146311321242e-06,2.5158824459555218e-05,0.37073424807391037,0.00032709974455185075,5.7030135170145924e-05,0.5550879978926091
DE,Indian River,594,Sussex County,5.0,Electric Utility,5091.0,462.116,204.668,478435.274066655,560999.35,DE,Indian River,594,PJM,BIT,COAL,0.06775,804.1,6.331302076856113,0.0008237371398023901,0.0003648275171798328,0.852826788599051,0.000883522736838472,0.001832558334326451,0.9446109432776311
NJ,North Jersey Energy Associates,10308,Middlesex County,23.0,Cogeneration,2800.0,2.354,291.233,422882.08056889503,964588.74,NJ,North Jersey Energy Associates,10308,PJM,NG,GAS,0.24974,430.2,6.508600650860065,2.440418286450244e-06,0.0003019245279599677,0.43840661105881773,0.00032709974455185075,5.7030135170145924e-05,0.5550879978926091
OH,Dresden Energy Facility,55350,Muskingum County,119.0,Electric Utility,4500.0,7.784,146.627,1398915.97651947,4046973.08,OH,Dresden Energy Facility,55350,PJM,NG,GAS,0.66586,678.3,6.6342326404245915,1.923412843655486e-06,3.623127633950063e-05,0.3456697014943994,0.00032709974455185075,5.7030135170145924e-05,0.5550879978926091
PA,Brunot Island Power Station,3096,Allegheny County,3.0,Electric Utility,2786.0,0.177,9.454,31653.147939405,44642.409999999996,PA,Brunot Island Power Station,3096,PJM,NG,GAS,0.01432,416.4,6.690682036503363,3.964839711834554e-06,0.00021177172110555862,0.7090376155634296,0.00032709974455185075,5.7030135170145924e-05,0.5550879978926091
NJ,Ocean Peaking Power,55938,Ocean County,29.0,Electric Utility,3918.0,1.084,58.388999999999996,194780.87851224,356477.45999999996,NJ,Ocean Peaking Power,55938,PJM,NG,GAS,0.07058,574.5,6.819843342036553,3.040865472953045e-06,0.00016379436725115804,0.5464044725639596,0.00032709974455185075,5.7030135170145924e-05,0.5550879978926091
NJ,Newark Energy Center,58079,Essex County,13.0,Electric Utility,5062.0,8.82,89.1,1584978.29190063,4447790.24,NJ,Newark Energy Center,58079,PJM,NG,GAS,0.67257,735,6.887074829931973,1.9830071842596606e-06,2.0032419514459833e-05,0.3563518525776139,0.00032709974455185075,5.7030135170145924e-05,0.5550879978926091
IL,Cordova Energy Company,55188,Rock Island County,161.0,Electric Utility,4304.4,0.10900000000000001,2.052,19684.149117989997,47266.66,IL,Cordova Energy Company,55188,PJM,NG,GAS,0.00857,611.2,7.042539267015706,2.3060652053688584e-06,4.341326423318254e-05,0.41644891172742043,0.00032709974455185075,5.7030135170145924e-05,0.5550879978926091
NJ,Woodbridge Energy Center,57839,Middlesex County,23.0,Electric Utility,5614.0,8.942,83.952,1606985.02875621,4816707.1899999995,NJ,Woodbridge Energy Center,57839,PJM,NG,GAS,0.68232,795,7.061635220125786,1.8564549696034152e-06,1.7429334333275097e-05,0.33362730292023635,0.00032709974455185075,5.7030135170145924e-05,0.5550879978926091
VA,Warren County Power Station,55939,Warren County,187.0,Electric Utility,10488.0,17.617,167.093,3165811.22734494,8684840.780000001,VA,Warren County Power Station,55939,PJM,NG,GAS,0.66118,1472.2,7.124032060861296,2.0284770263802115e-06,1.923961581250773e-05,0.3645215044857667,0.00032709974455185075,5.7030135170145924e-05,0.5550879978926091
