,DOE/EIA ORIS plant or facility code,Facility Name,Fuel Cost ($/MMBtu),Heat rate (MMBtu/MWh),Marginal Cost ($/MWh),Plant nameplate capacity (MW),Plant primary coal/oil/gas/ other fossil fuel category,State,Running Capacity (MW)
68,3804,Possum Point Power Station,2.33,8.214611652817139,19.140045151063934,2081.9,GAS,VA,87236.7
69,58235,Clayville,2.33,8.219178082191782,19.150684931506852,73,GAS,NJ,87309.7
70,3948,Mitchell (WV),2.244055172413792,8.599779492833518,19.298379652511112,1632.6,COAL,WV,88942.3
71,874,Joliet 9,2.33,8.351063829787234,19.457978723404256,507.6,GAS,IL,89449.90000000001
72,2836,Avon Lake Power Plant,2.244055172413792,8.695402298850574,19.51296250495441,870,COAL,OH,90319.90000000001
73,55516,"Dynegy Fayette II, LLC",2.33,8.383791336748951,19.534233814625058,644.1,GAS,PA,90964.00000000001
74,55640,"LSP University Park, LLC",2.33,8.388567493112948,19.54536225895317,726,GAS,IL,91690.00000000001
75,56807,Bear Garden Generating Station,2.33,8.389982110912344,19.548658318425762,559,GAS,VA,92249.00000000001
76,2408,Mercer Generating Station,2.244055172413792,8.723958333333334,19.577043821839073,768,COAL,NJ,93017.00000000001
77,2828,Cardinal,2.244055172413792,8.788023824718145,19.72081031915439,1880.4,COAL,OH,94897.40000000001
78,3140,"Brunner Island, LLC",2.244055172413792,8.807412880187169,19.76432042936787,1624.2,COAL,PA,96521.6
79,3935,John E Amos,2.244055172413792,8.845393166473437,19.849550287258328,2932.6,COAL,WV,99454.20000000001
80,55736,"Dynegy Hanging Rock II, LLC",2.33,8.539046731873933,19.895978885266263,1288.2,GAS,OH,100742.40000000001
81,884,Will County,2.244055172413792,8.877679697351828,19.92200304387528,1268.8,COAL,IL,102011.20000000001
82,3936,Kanawha River,2.244055172413792,8.879781420765028,19.92671942717165,439.2,COAL,WV,102450.40000000001
83,56671,Longview Power,2.244055172413792,8.91640866873065,20.00891299242019,807.5,COAL,WV,103257.90000000001
84,1385,William C. Dale,2.244055172413792,8.930555555555555,20.04065938697317,216,COAL,KY,103473.90000000001
85,10751,"Camden Plant Holding, LLC",2.33,8.719745222929935,20.31700636942675,157,GAS,NJ,103630.90000000001
86,3797,Chesterfield Power Station,2.244055172413792,9.06196165601556,20.33554192639717,1799.5,COAL,VA,105430.40000000001
87,55690,Bethlehem Power Plant,2.33,8.794449262792714,20.491066782307023,1153,GAS,PA,106583.40000000001
88,55233,Handsome Lake Energy,2.33,8.828522920203735,20.570458404074703,294.5,GAS,PA,106877.90000000001
89,55279,Aurora,2.33,8.831372549019608,20.577098039215688,1275,GAS,IL,108152.90000000001
90,8102,Gen J M Gavin,2.244055172413792,9.181538461538462,20.603878875331556,2600,COAL,OH,110752.90000000001
91,6264,Mountaineer (1301),2.244055172413792,9.2,20.645307586206886,1300,COAL,WV,112052.90000000001
92,50497,"Bayonne Plant Holding, LLC",2.33,9.08141962421712,21.15970772442589,191.6,GAS,NJ,112244.50000000001
93,6019,W H Zimmer Generating Station,2.244055172413792,9.46969696969697,21.2505224660397,1425.6,COAL,OH,113670.10000000002
94,55285,Wolf Hills Energy,2.33,9.12280701754386,21.256140350877192,285,GAS,VA,113955.10000000002
95,3136,Keystone,2.244055172413792,9.511677282377919,21.34472860385093,1884,COAL,PA,115839.10000000002
96,2393,Gilbert Generating Station,2.33,9.161184210526315,21.345559210526314,608,GAS,NJ,116447.10000000002
97,55281,Southeast Chicago Energy Project,2.33,9.174852652259332,21.377406679764245,407.2,GAS,IL,116854.30000000002
98,50385,Newark Bay Cogen,2.33,9.20863309352518,21.456115107913668,139,GAS,NJ,116993.30000000002
99,3138,New Castle,2.33,9.229500471253536,21.50473609802074,424.4,GAS,PA,117417.70000000001
100,55198,Riverside Generating Company,2.33,9.273913043478261,21.60821739130435,1150,GAS,KY,118567.70000000001
101,50555,Rosemary Power Station,2.33,9.316666666666666,21.707833333333333,180,GAS,NC,118747.70000000001
102,6094,Bruce Mansfield,2.244055172413792,9.722374229323995,21.817544177457066,2741.1,COAL,PA,121488.80000000002
103,1572,Dickerson,2.244055172413792,9.765273311897106,21.913812085597062,933,COAL,MD,122421.80000000002
104,8226,Cheswick,2.244055172413792,9.811616954474097,22.017809776430454,637,COAL,PA,123058.80000000002
105,6041,H L Spurlock,2.244055172413792,9.865340379235311,22.13836810564564,1608.5,COAL,KY,124667.30000000002
106,10773,Altavista Power Station,2.0,11.082981715893109,22.165963431786217,71.1,BIOMASS,VA,124738.40000000002
107,1554,Herbert A Wagner,2.244055172413792,9.879074161549362,22.169187470884292,1058.5,COAL,MD,125796.90000000002
108,56808,Virginia City Hybrid Energy Center,2.244055172413792,9.880239520958083,22.171802601693155,668,COAL,VA,126464.90000000002
109,876,Kincaid Generating Station,2.244055172413792,9.886277482941622,22.18535212151315,1319,COAL,IL,127783.90000000002
110,3809,Yorktown Power Station,2.244055172413792,9.969769291964996,22.37271234740624,1257,COAL,VA,129040.90000000002
111,10774,Southampton Power Station,2.0,11.251758087201127,22.503516174402254,71.1,BIOMASS,VA,129112.00000000003
112,883,Waukegan,2.244055172413792,10.042636930141029,22.536231347756743,914.7,COAL,IL,130026.70000000003
113,3118,Conemaugh,2.244055172413792,10.066348195329088,22.58944073504648,1884,COAL,PA,131910.7
114,50799,"EFS Parlin Holdings, LLC",2.33,9.718518518518518,22.644148148148147,135,GAS,NJ,132045.7
115,6031,Killen Station,2.244055172413792,10.13491948353402,22.743318489021835,689.3,COAL,OH,132735.0
116,54785,Grays Ferry Cogen Partnership,2.33,9.766355140186915,22.755607476635515,192.6,GAS,PA,132927.6
117,7872,Robert P Mone,2.33,9.829797979797979,22.903429292929292,594,GAS,OH,133521.6
118,6018,East Bend,2.244055172413792,10.215025906735752,22.92308172235125,772,COAL,KY,134293.6
119,10099,Pedricktown Cogeneration Plant,2.33,9.851301115241636,22.953531598513013,134.5,GAS,NJ,134428.1
120,6166,Rockport,2.244055172413792,10.307692307692308,23.13103023872678,2600,COAL,IN,137028.1
121,3122,Homer City,2.244055172413792,10.359840954274354,23.2480546788236,2012,COAL,PA,139040.1
122,10030,NRG Energy Center Dover,2.33,10.042372881355933,23.398728813559323,118,GAS,DE,139158.1
123,54640,Lakewood,2.33,10.050675675675675,23.418074324324323,236.8,GAS,NJ,139394.9
124,54844,Gordonsville Power Station,2.33,10.053262316910786,23.42410119840213,300.4,GAS,VA,139695.3
125,2866,W H Sammis,2.244055172413792,10.47242818362303,23.500706633191236,2468.1,COAL,OH,142163.4
126,7836,Marsh Run Generation Facility,2.33,10.15801354401806,23.66817155756208,708.8,GAS,VA,142872.19999999998
