,Facility Name,Fuel,Fuel Cost ($/MMBtu),Gas price,Gas_Hubs,Heat rate (MMBtu/MWh),Marginal Cost ($/MWh),ORIS,Plant nameplate capacity (MW),State,Unit Group,VOM ($/MWh),Running Capacity (MW)
66,Garrison Energy Center,GAS,2.9644,2.9644,Transco Zone 6 NY,6.293628808864266,21.65683324099723,57349,361,DE,Combined cycle,3.0,86066.59999999999
67,"Bayonne Plant Holding, LLC",GAS,2.0578,2.0578,Transco Zone 6 Non NY,9.08141962421712,21.687745302713985,50497,191.6,NJ,Combined cycle,3.0,86258.2
68,Gilbert Generating Station,GAS,2.0578,2.0578,Transco Zone 6 Non NY,9.161184210526315,21.85188486842105,2393,608,NJ,Combined cycle,3.0,86866.2
69,Newark Bay Cogen,GAS,2.0578,2.0578,Transco Zone 6 Non NY,9.20863309352518,21.949525179856114,50385,139,NJ,Combined cycle,3.0,87005.2
70,Zion Energy Center,GAS,2.4471,2.4471,Chicago City Gate,6.184012066365008,22.13289592760181,55392,994.5,IL,Combustion turbine,7.0,87999.7
71,Conesville,COAL,2.3274043715847013,2.3599,Lebanon,7.4222917049843655,22.274674161357478,2840,2174.8,OH,Coal boiler,5.0,90174.5
72,Kendall Energy Facility,GAS,2.4471,2.4471,Chicago City Gate,7.961783439490445,22.483280254777068,55131,1256,IL,Combined cycle,3.0,91430.5
73,Nelson Energy Center,GAS,2.4471,2.4471,Chicago City Gate,8.019123505976095,22.623597131474103,55183,627.5,IL,Combined cycle,3.0,92058.0
74,Allegheny Energy Units 1 & 2,GAS,1.4,1.4,Dominion South Point,11.187214611872147,22.662100456621005,55196,87.6,PA,Combustion turbine,7.0,92145.6
75,"Armstrong Power, LLC",GAS,1.4,1.4,Dominion South Point,11.19767441860465,22.67674418604651,55347,688,PA,Combustion turbine,7.0,92833.6
76,Hunlock Unit 4,GAS,1.4,1.4,Dominion South Point,11.363636363636363,22.909090909090907,56397,44,PA,Combustion turbine,7.0,92877.6
77,Allegheny Energy Units 8 & 9,GAS,1.4,1.4,Dominion South Point,11.426940639269407,22.997716894977167,55377,87.6,PA,Combustion turbine,7.0,92965.20000000001
78,"EFS Parlin Holdings, LLC",GAS,2.0578,2.0578,Transco Zone 6 Non NY,9.718518518518518,22.998767407407406,50799,135,NJ,Combined cycle,3.0,93100.20000000001
79,"Dynegy Hanging Rock II, LLC",GAS,2.3599,2.3599,Lebanon,8.539046731873933,23.151296382549294,55736,1288.2,OH,Combined cycle,3.0,94388.40000000001
80,Pedricktown Cogeneration Plant,GAS,2.0578,2.0578,Transco Zone 6 Non NY,9.851301115241636,23.272007434944236,10099,134.5,NJ,Combined cycle,3.0,94522.90000000001
81,Chambersburg Units 12 & 13,GAS,1.4,1.4,Dominion South Point,11.643835616438357,23.3013698630137,55654,87.6,PA,Combustion turbine,7.0,94610.50000000001
82,Seward,COAL,2.3274043715847013,1.4,Dominion South Point,7.918326693227091,23.429148161452563,3130,803.2,PA,Coal boiler,5.0,95413.70000000001
83,Joliet 9,GAS,2.4471,2.4471,Chicago City Gate,8.351063829787234,23.43588829787234,874,507.6,IL,Coal boiler,3.0,95921.30000000002
84,Lakewood,GAS,2.0578,2.0578,Transco Zone 6 Non NY,10.050675675675675,23.682280405405404,54640,236.8,NJ,Combined cycle,3.0,96158.10000000002
85,Gordonsville Power Station,GAS,2.0578,2.0578,Transco Zone 6 Non NY,10.053262316910786,23.687603195739012,54844,300.4,VA,Combined cycle,3.0,96458.50000000001
86,Clayville,GAS,2.0578,2.0578,Transco Zone 6 Non NY,8.219178082191782,23.913424657534247,58235,73,NJ,Combustion turbine,7.0,96531.50000000001
87,"Montour, LLC",COAL,2.3274043715847013,1.4,Dominion South Point,8.319531294011606,24.362913503218337,3149,1775.1,PA,Coal boiler,5.0,98306.60000000002
88,Bremo Power Station,GAS,2.0578,2.0578,Transco Zone 6 Non NY,10.405192761605036,24.411805664830844,3796,254.2,VA,Coal boiler,3.0,98560.80000000002
89,Morgantown,COAL,2.3274043715847013,2.0578,Transco Zone 6 Non NY,8.352713178294573,24.440141165755936,1573,1548,MD,Coal boiler,5.0,100108.80000000002
90,Gould Street,GAS,2.0578,2.0578,Transco Zone 6 Non NY,10.483091787439614,24.572106280193236,1553,103.5,MD,Coal boiler,3.0,100212.30000000002
91,Miami Fort Power Station,COAL,2.3274043715847013,2.3599,Lebanon,8.472991689750693,24.720077899126608,2832,1444,OH,Coal boiler,5.0,101656.30000000002
92,Smith Generating Facility,GAS,2.3599,2.3599,Lebanon,7.566430203198268,24.856018636527594,54,1663.4,KY,Combustion turbine,7.0,103319.70000000001
93,Mitchell (WV),COAL,2.3274043715847013,2.2114,Columbia Gas,8.599779492833518,25.015164386285196,3948,1632.6,WV,Coal boiler,5.0,104952.30000000002
94,Avon Lake Power Plant,COAL,2.3274043715847013,2.3599,Lebanon,8.695402298850574,25.237717323032488,2836,870,OH,Coal boiler,5.0,105822.30000000002
95,Mercer Generating Station,COAL,2.3274043715847013,2.0578,Transco Zone 6 Non NY,8.723958333333334,25.304178762522785,2408,768,NJ,Coal boiler,5.0,106590.30000000002
96,Cardinal,COAL,2.3274043715847013,2.3599,Lebanon,8.788023824718145,25.453285067239516,2828,1880.4,OH,Coal boiler,5.0,108470.70000000001
97,"Brunner Island, LLC",COAL,2.3274043715847013,1.4,Dominion South Point,8.807412880187169,25.49841123969902,3140,1624.2,PA,Coal boiler,5.0,110094.90000000001
98,John E Amos,COAL,2.3274043715847013,2.2114,Columbia Gas,8.845393166473437,25.58680672403572,3935,2932.6,WV,Coal boiler,5.0,113027.50000000001
99,Will County,COAL,2.3274043715847013,2.4471,Chicago City Gate,8.877679697351828,25.661950537145394,884,1268.8,IL,Coal boiler,5.0,114296.30000000002
100,Kanawha River,COAL,2.3274043715847013,2.2114,Columbia Gas,8.879781420765028,25.666842097405134,3936,439.2,WV,Coal boiler,5.0,114735.50000000001
101,Longview Power,COAL,2.3274043715847013,2.2114,Columbia Gas,8.91640866873065,25.752088514439443,56671,807.5,WV,Coal boiler,5.0,115543.00000000001
