Hour,Day,Month,Year,System load (MW),ORIS ID,Fuel,Marginal Cost ($/MWh),CO2 emissions rate (tons/MWh),NOx emisisons rate (tons/MWh),SO2 emissions rate (tons/MWh)
18,13,10,2016,83420.361,2840,COAL,21.509483680388133,0.9498585507993426,0.0011964601995765765,0.0010026955717612614
19,13,10,2016,84310.81,7835,GAS,20.236814891416753,0.5613202727822885,0.00016079644783712548,3.1238141446213064e-06
20,13,10,2016,87402.794,52087,GAS,22.33827160493827,0.6754739028801467,0.0008173418334028923,6.151224366363288e-05
21,13,10,2016,86290.661,3130,COAL,22.612819667276842,0.9446109432776311,0.000883522736838472,0.001832558334326451
22,13,10,2016,82458.71,2840,COAL,21.509483680388133,0.9498585507993426,0.0011964601995765765,0.0010026955717612614
23,13,10,2016,76778.474,55347,GAS,17.86174418604651,0.5493006151423199,0.00015352444280185534,3.0604426755411425e-06
24,13,10,2016,71199.472,3935,COAL,24.67490364605894,0.8781214045351431,0.00040525221451080223,0.0003395181542398692
1,14,10,2016,67057.068,3804,GAS,13.514702915605938,0.39605148402282947,8.134661411060147e-05,8.616448742303567e-05
2,14,10,2016,64600.067,55439,GAS,13.349857308952542,0.38867633126393947,2.39725334977489e-05,2.1658310407547597e-06
3,14,10,2016,63233.476,2398,GAS,12.883612794138369,0.6451951614746082,9.51329287277088e-05,3.5922334047529087e-06
4,14,10,2016,63052.108,2398,GAS,12.883612794138369,0.6451951614746082,9.51329287277088e-05,3.5922334047529087e-06
5,14,10,2016,64301.828,55239,GAS,13.195104128607964,0.5832792041690795,5.482159603354528e-05,3.245803801560447e-06
6,14,10,2016,68731.277,56807,GAS,13.739177101967801,0.3723846846340778,2.6171567783401845e-05,2.07217501703363e-06
7,14,10,2016,76763.58,1553,GAS,16.418357487922705,0.6379773947662118,0.001019071210978915,3.5571400199002226e-06
8,14,10,2016,82363.771,594,COAL,19.082783656059995,0.852826788599051,0.0003648275171798328,0.0008237371398023901
9,14,10,2016,83136.069,7836,GAS,20.002257336343117,0.5775297992071684,0.0001809078803674467,3.2117690249591833e-06
10,14,10,2016,82948.237,7835,GAS,20.236814891416753,0.5613202727822885,0.00016079644783712548,3.1238141446213064e-06
11,14,10,2016,82849.915,2840,COAL,21.509483680388133,0.9498585507993426,0.0011964601995765765,0.0010026955717612614
12,14,10,2016,82382.241,7835,GAS,20.236814891416753,0.5613202727822885,0.00016079644783712548,3.1238141446213064e-06
13,14,10,2016,81872.945,55738,GAS,20.061818181818182,0.5294605319503857,0.0003832452435007478,2.946621627533645e-06
14,14,10,2016,81585.395,7836,GAS,20.002257336343117,0.5775297992071684,0.0001809078803674467,3.2117690249591833e-06
15,14,10,2016,81108.722,7836,GAS,20.002257336343117,0.5775297992071684,0.0001809078803674467,3.2117690249591833e-06
16,14,10,2016,80460.435,7836,GAS,20.002257336343117,0.5775297992071684,0.0001809078803674467,3.2117690249591833e-06
